date,PET,rain,flow
2018-09-25,inf,0.0,69050880.0
2018-09-26,inf,0.0,65232000.0
2018-09-27,inf,0.0,59529600.0
2018-09-28,inf,0.0,53827200.0
2018-09-29,inf,0.0,49904640.0
2018-09-30,inf,0.0,48695040.0
2018-10-01,inf,0.0,48936960.0
2018-10-02,inf,0.0,51598080.00000001
2018-10-03,inf,0.0,55123200.0
2018-10-04,inf,0.0,60048000.0
2018-10-05,inf,0.0,67392000.0
2018-10-06,inf,0.0,68221440.0
2018-10-07,inf,0.0,66286080.00000001
2018-10-08,inf,0.0,65750400.0
2018-10-09,inf,0.0,65491200.0
2018-10-10,inf,0.0,62899200.0
2018-10-11,inf,0.0,58492800.0
2018-10-12,inf,0.0,55900800.0
2018-10-13,inf,0.0,53568000.0
2018-10-14,inf,0.0,51356160.0
2018-10-15,inf,0.0,48453119.99999999
2018-10-16,inf,0.0,46517760.0
2018-10-17,inf,0.0,44893440.0
2018-10-18,inf,0.0,43545600.0
2018-10-19,inf,0.0,42197760.0
2018-10-20,inf,0.0,41748480.0
2018-10-21,inf,0.0,39502080.0
2018-10-22,inf,0.0,39502080.0
2018-10-23,inf,0.0,44668800.0
2018-10-24,inf,0.0,54864000.0
2018-10-25,inf,0.0,60048000.0
2018-10-26,inf,0.0,59788800.0
2018-10-27,inf,0.0,58752000.0
2018-10-28,inf,0.0,61084800.0
2018-10-29,inf,0.0,63936000.0
2018-10-30,inf,0.0,62640000.0
2018-10-31,inf,0.0,58752000.0
2018-11-01,inf,0.0,55382400.0
2018-11-02,inf,0.4,53568000.0
2018-11-03,inf,0.0,51598080.00000001
2018-11-04,inf,0.0,50146560.0
2018-11-05,inf,0.0,46759680.00000001
2018-11-06,inf,0.0,44219520.0
2018-11-07,inf,0.0,41748480.0
2018-11-08,inf,0.0,39277440.0
2018-11-09,inf,0.2,37255680.0
2018-11-10,inf,2.8,35683200.0
2018-11-11,inf,0.6000000000000001,34352640.0
2018-11-12,inf,5.0,30395520.0
2018-11-13,inf,0.2,29825280.0
2018-11-14,inf,0.2,32106240.000000004
2018-11-15,inf,0.2,36581760.0
2018-11-16,inf,0.0,39951360.0
2018-11-17,inf,0.0,41748480.0
2018-11-18,inf,0.0,41973120.0
2018-11-19,inf,0.0,43320960.0
2018-11-20,inf,0.0,43994880.0
2018-11-21,inf,0.0,43320960.0
2018-11-22,inf,0.0,42422400.0
2018-11-23,inf,0.0,42197760.0
2018-11-24,inf,0.0,41748480.0
2018-11-25,inf,0.0,41973120.0
2018-11-26,inf,0.0,40176000.0
2018-11-27,inf,0.0,40176000.0
2018-11-28,inf,0.0,39502080.0
2018-11-29,inf,0.0,38378880.0
2018-11-30,inf,0.0,38603520.0
2018-12-01,inf,0.0,37031040.0
2018-12-02,inf,0.0,37255680.0
2018-12-03,inf,0.0,36357120.0
2018-12-04,inf,0.0,34145280.0
2018-12-05,inf,0.0,34560000.0
2018-12-06,inf,0.0,36806400.0
2018-12-07,inf,0.0,35907840.0
2018-12-08,inf,0.2,33108480.0
2018-12-09,inf,0.0,30015359.999999996
2018-12-10,inf,0.0,29635200.0
2018-12-11,inf,0.0,31916159.999999996
2018-12-12,inf,7.199999999999999,33730560.0
2018-12-13,inf,49.199999999999996,37929600.0
