date,temp,humid,wind,radia,precip,ETp,Q(l/s),ks mrk.,Q_mm_d
2007-12-20 12:00:00,2.073611111111111,97.98611111111111,2.520833333333333,4.138888888888889,0.0,0.12,721.9358974358975,0.0,0.44553758241758246
2007-12-21 00:00:00,0.9295774647887324,98.95774647887325,1.676056338028169,7.366197183098592,0.0,0.1,706.7083333333334,0.0,0.43614
2007-12-21 12:00:00,-0.9527777777777776,100.0,0.7416666666666667,3.4027777777777777,0.0,0.1,697.9305555555555,0.0,0.43072285714285713
2007-12-22 00:00:00,-2.4319444444444445,100.0,0.7458333333333333,8.63888888888889,0.0,0.075,682.395,0.0,0.4211352
2007-12-22 12:00:00,-2.577777777777777,100.0,1.2013888888888888,3.9027777777777777,0.0,0.075,678.8129032258065,0.0,0.418924534562212
2007-12-23 00:00:00,-1.4666666666666666,100.0,1.5499999999999998,13.5,0.0,0.045,658.7833333333333,0.0,0.4065634285714286
2007-12-23 12:00:00,1.5069444444444444,100.0,0.9916666666666668,5.222222222222222,0.0,0.045,651.0478260869565,0.0,0.40178951552795034
2007-12-24 00:00:00,0.1472222222222222,100.0,1.636111111111111,15.944444444444445,0.0,0.025,638.7888888888889,0.0,0.394224
2007-12-24 12:00:00,1.8277777777777773,99.09722222222224,3.147222222222222,6.222222222222222,0.0,0.025,638.8857142857142,0.0,0.3942837551020408
2007-12-25 00:00:00,2.4722222222222223,95.16666666666669,3.3138888888888887,9.291666666666666,0.0,0.13,630.9846153846154,0.0,0.3894076483516483
2007-12-25 12:00:00,2.9027777777777777,92.08333333333331,4.2875,6.708333333333333,0.0,0.13,629.1333333333333,0.0,0.38826514285714286
2007-12-26 00:00:00,3.1319444444444446,90.72222222222224,3.281944444444445,9.791666666666666,0.3,0.125,616.85,0.0,0.3806845714285714
2007-12-26 12:00:00,4.854166666666667,94.34722222222224,3.0013888888888887,9.666666666666666,0.0,0.125,613.672,0.0,0.3787232914285715
2007-12-27 00:00:00,3.495833333333333,92.375,3.741666666666666,6.305555555555555,0.0,0.19,593.425,0.0,0.36622799999999994
2007-12-27 12:00:00,4.391666666666667,93.27777777777776,4.637499999999999,2.708333333333333,1.8,0.19,593.56,0.0,0.36631131428571423
2007-12-28 00:00:00,6.7125,98.44444444444444,4.9125,4.069444444444445,2.7,0.2,623.8514285714285,0.0,0.38500545306122447
