date,discharge,precipitation,ETp,precip_7d,precip_30d,precip_90d,precip_surplus
2010-06-26,0.6694801655486897,0.0,2.885,0.12857142857142756,1.965,2.9850000000000003,-2.885
2010-06-27,0.6477090605690117,0.1,3.74,0.12857142857142756,1.43,2.8794444444444447,-3.64
2010-06-28,0.634468996794766,0.0,4.32,0.10714285714285612,1.7016666666666669,2.9994444444444444,-4.32
2010-06-29,0.6218334434788357,0.45,4.095,0.09999999999999899,1.56,3.0644444444444447,-3.6449999999999996
2010-06-30,0.6108079007368734,0.1,2.6,0.10714285714285612,1.5666666666666667,2.8200000000000003,-2.5
2010-07-01,0.5905188891668751,0.0,4.455,1.1214285714285703,1.4166666666666667,2.823888888888889,-4.455
2010-07-02,0.5712374215033712,0.05,4.5,1.1214285714285706,1.3866666666666667,2.825555555555556,-4.45
2010-07-03,0.5583850849580992,0.05,4.6899999999999995,1.0857142857142847,1.5516666666666667,2.9583333333333335,-4.64
2010-07-04,0.5520048149319536,7.2,4.13,1.0714285714285705,1.53,3.377222222222222,3.0700000000000003
2010-07-05,0.5385539768033573,0.0,3.595,1.0928571428571419,1.1783333333333335,3.7577777777777777,-3.595
2010-07-06,0.5200999958336268,0.2,3.47,1.0857142857142847,0.9983333333333333,3.7405555555555554,-3.27
2010-07-07,0.5003059941182303,0.0,3.95,1.0785714285714276,0.9983333333333333,3.770555555555555,-3.95
2010-07-08,0.4792511364655567,0.15,2.56,0.09999999999999898,1.2116666666666667,3.7944444444444443,-2.41
2010-07-09,0.4641502123054556,0.0,4.300000000000001,2.0357142857142847,1.2833333333333334,3.928333333333333,-4.300000000000001
2010-07-10,0.4598840746125632,0.0,4.8149999999999995,2.2214285714285706,1.34,4.057222222222222,-4.8149999999999995
2010-07-11,0.4448057105175067,0.35,3.48,2.2571428571428562,1.3716666666666666,4.069444444444445,-3.13
2010-07-12,0.4526411034691113,13.55,2.535,2.292857142857142,1.4,4.069999999999999,11.015
2010-07-13,0.4711444921093706,1.5,2.26,2.3071428571428565,1.3966666666666667,4.056111111111111,-0.7599999999999998
2010-07-14,0.4595117613846152,0.25,3.995,3.0357142857142847,1.9383333333333332,4.054444444444444,-3.745
2010-07-15,0.4565160584958818,0.4,3.56,2.9928571428571416,2.1883333333333335,3.793333333333333,-3.16
2010-07-16,0.4354637345933979,0.1,4.38,1.057142857142856,2.578333333333333,3.798333333333333,-4.28
2010-07-17,0.4343891055083766,5.1,2.975,0.8428571428571418,2.623333333333333,3.8049999999999997,2.1249999999999996
2010-07-18,0.4033865144551605,0.05,3.23,0.807142857142856,2.8483333333333336,3.8049999999999997,-3.18
2010-07-19,0.3717466460694577,0.0,3.455,1.664285714285713,2.8633333333333337,3.8049999999999997,-3.455
2010-07-20,0.3402051436033957,0.0,4.365,1.9714285714285704,2.6233333333333335,3.804444444444444,-4.365
2010-07-21,0.2843345055961783,0.0,4.25,1.5071428571428562,2.835,3.783888888888889,-4.25
2010-07-22,0.2748403661236493,6.4,2.77,1.6499999999999988,2.9566666666666666,3.776111111111111,3.6300000000000003
2010-07-23,0.2674976175527872,2.25,3.16,1.7714285714285705,2.9566666666666666,3.652222222222222,-0.9100000000000001
2010-07-24,0.2764227124030844,1.85,2.865,1.7714285714285705,2.9516666666666667,3.638333333333333,-1.0150000000000001
2010-07-25,0.267451853040724,1.05,3.0199999999999996,4.092857142857142,3.0083333333333333,3.4372222222222226,-1.9699999999999995
2010-07-26,0.2450982552952451,0.8500000000000001,3.13,4.314285714285713,3.0316666666666667,3.1983333333333337,-2.28
2010-07-27,0.2228485411228232,0.0,3.87,5.678571428571428,3.0200000000000005,3.048333333333334,-3.87
2010-07-28,0.2177050696143518,16.25,1.62,5.607142857142856,2.9283333333333332,3.0966666666666667,14.629999999999999
2010-07-29,0.281438970532247,7.95,2.29,6.428571428571428,3.0733333333333333,3.043333333333333,5.66
2010-07-30,0.2891482763015658,11.8,1.035,6.378571428571427,3.1166666666666667,3.2083333333333335,10.765
2010-07-31,0.2627141724217692,1.35,2.095,6.378571428571427,3.14,3.158333333333333,-0.7450000000000001
2010-08-01,0.2774502587918641,6.800000000000001,2.16,4.9642857142857135,3.1416666666666666,3.297222222222222,4.640000000000001
2010-08-02,0.2674045250919322,0.5,2.1950000000000003,4.378571428571428,3.37,3.378333333333333,-1.6950000000000003
2010-08-03,0.2436589144259567,0.0,2.7350000000000003,2.692857142857142,4.625,3.413333333333333,-2.7350000000000003
2010-08-04,0.2502421703069755,6.35,1.35,2.499999999999999,5.766666666666667,3.350555555555555,5.0
2010-08-05,0.268717704614111,3.85,2.3,1.7714285714285705,5.7683333333333335,3.2916666666666665,1.5500000000000003
2010-08-06,0.257137299372471,0.0,2.535,1.799999999999999,5.858333333333333,3.2916666666666665,-2.535
2010-08-07,0.2490964345900935,0.0,3.7,1.799999999999999,5.716666666666667,3.386111111111111,-3.7
2010-08-08,0.243584997607927,1.7,1.51,2.4357142857142846,6.11,3.3855555555555554,0.18999999999999995
2010-08-09,0.2360075504741763,0.7000000000000001,1.805,2.7214285714285706,6.4350000000000005,3.383888888888889,-1.105
2010-08-10,0.2060702755840465,0.0,3.2649999999999997,2.942857142857142,6.4366666666666665,3.3827777777777777,-3.2649999999999997
2010-08-11,0.2354883607332242,10.8,1.395,3.0999999999999988,6.41,3.389444444444444,9.405000000000001
2010-08-12,0.2888500974787695,5.85,1.605,2.8785714285714277,6.41,3.388888888888889,4.244999999999999
2010-08-13,0.3187396408155173,1.55,2.53,4.485714285714285,5.871666666666667,3.4044444444444446,-0.9799999999999998
2010-08-14,0.2994730765054924,1.1,1.64,9.87142857142857,5.628333333333334,3.399444444444445,-0.5399999999999998
2010-08-15,0.3068707662822589,0.15,2.73,13.221428571428572,5.2683333333333335,3.3983333333333334,-2.58
2010-08-16,0.3259491127779797,11.95,1.025,12.39285714285714,5.243333333333334,3.3983333333333334,10.924999999999999
2010-08-17,0.6330006939166639,37.7,0.71,12.557142857142855,5.016666666666667,3.397777777777778,36.99
2010-08-18,0.8448871559329875,34.25,0.665,12.707142857142857,5.0,3.397222222222222,33.585
2010-08-19,0.7688064055116809,0.05,2.865,14.692857142857141,5.0,3.3172222222222225,-2.8150000000000004
2010-08-20,0.7281825413871724,2.7,1.8,14.642857142857142,4.806666666666667,3.3177777777777773,0.9000000000000001
2010-08-21,0.7452321481677296,2.15,1.495,9.414285714285713,4.678333333333333,3.315555555555555,0.6549999999999998
2010-08-22,0.8111660773882299,14.05,2.425,4.528571428571428,4.678333333333333,3.315555555555555,11.625
2010-08-23,0.8542730231635991,11.6,1.285,4.5214285714285705,4.678333333333333,3.3872222222222224,10.315
2010-08-24,0.919235295575455,1.1,2.2350000000000003,4.1499999999999995,4.621666666666666,3.401111111111111,-1.1350000000000002
2010-08-25,0.898723887255064,0.05,2.5700000000000003,3.9357142857142846,4.598333333333333,3.401111111111111,-2.5200000000000005
2010-08-26,0.8589989673859169,0.0,2.49,2.0714285714285703,4.694999999999999,3.397222222222222,-2.49
2010-08-27,0.8019757459604138,0.1,2.175,0.499999999999999,4.659999999999999,3.2466666666666666,-2.0749999999999997
2010-08-28,0.7882126276311008,0.65,2.1950000000000003,0.3428571428571418,4.496666666666667,3.23,-1.5450000000000004
2010-08-29,0.779640501602617,1.0,1.84,0.3357142857142847,4.941666666666666,3.227222222222222,-0.8400000000000001
2010-08-30,0.763140842095887,0.6,2.335,0.3357142857142847,4.918333333333333,3.222777777777778,-1.7349999999999999
2010-08-31,0.7482646631199815,0.0,1.805,0.399999999999999,5.363333333333333,3.2216666666666667,-1.805
2010-09-01,0.7316773535340185,0.0,1.78,0.30714285714285616,5.213333333333334,3.1972222222222224,-1.78
2010-09-02,0.7111602947493639,0.0,2.22,0.16428571428571326,4.085,3.1994444444444445,-2.22
2010-09-03,0.6979691372302813,0.55,1.68,0.07857142857142756,3.106666666666667,3.1994444444444445,-1.13
2010-09-04,0.6819161682582692,0.0,1.99,0.07857142857142756,3.1083333333333334,3.2150000000000003,-1.99
2010-09-05,0.6634583319565146,0.0,1.94,0.07857142857142756,3.0183333333333335,3.2888888888888888,-1.94
2010-09-06,0.6471798648514688,0.0,2.065,0.4928571428571419,3.23,3.237222222222222,-2.065
2010-09-07,0.6295194131447643,0.0,2.1950000000000003,1.8071428571428563,2.7633333333333336,3.2655555555555553,-2.1950000000000003
2010-09-08,0.6065284175395698,0.0,2.3200000000000003,1.9428571428571417,2.3766666666666665,3.293333333333334,-2.3200000000000003
2010-09-09,0.5851225258566567,2.9,1.77,4.07142857142857,2.3400000000000003,3.3655555555555554,1.13
2010-09-10,0.6099999586954368,9.75,0.8400000000000001,4.128571428571427,2.3583333333333334,3.563888888888889,8.91
2010-09-11,0.590514035290619,0.95,0.885,6.057142857142856,2.36,3.591666666666667,0.06499999999999995
2010-09-12,0.6372070928196147,14.9,0.92,7.121428571428571,2.4033333333333333,3.411111111111111,13.98
2010-09-13,0.6869202426840639,0.3999999999999999,1.63,7.257142857142857,2.381666666666667,3.348333333333333,-1.23
2010-09-14,0.7485975944222317,13.5,1.295,6.564285714285714,2.3483333333333336,3.2761111111111108,12.205
2010-09-15,0.7816419555232462,7.449999999999999,1.3849999999999998,6.442857142857142,2.328333333333333,3.261111111111111,6.0649999999999995
2010-09-16,0.8180806099857914,3.85,1.525,4.314285714285713,2.328333333333333,3.188888888888889,2.325
2010-09-17,0.8175624029342763,4.9,1.28,5.471428571428571,2.328333333333333,3.183333333333333,3.62
2010-09-18,0.8186281845818326,0.1,1.705,3.5499999999999994,2.328333333333333,3.183333333333333,-1.605
2010-09-19,0.8061436077057795,0.0,1.35,2.4857142857142844,2.3116666666666665,3.1266666666666665,-1.35
2010-09-20,0.8412779218848098,8.5,0.72,1.9357142857142848,2.3116666666666665,3.155,7.78
2010-09-21,0.8627693883620263,0.05,1.635,1.3214285714285705,2.3116666666666665,3.2122222222222225,-1.585
2010-09-22,0.8468321052109837,0.0,1.27,1.3142857142857132,2.5316666666666667,3.2705555555555557,-1.27
2010-09-23,0.8396015183557479,0.0,1.29,1.5142857142857131,2.5733333333333333,3.293333333333334,-1.29
