date;discharge;precipitation;ETp
2005-05-27;0.21441085714285715;0.0;4.22
2005-05-28;0.20209885714285716;0.2;4.25
2005-05-29;0.19129885714285716;0.0;4.07
2005-05-30;0.18821314285714288;1.0;2.34
2005-05-31;0.2737954285714286;14.0;1.24
2005-06-01;0.34840799999999994;2.5;1.48
2005-06-02;0.32537314285714286;5.6;1.12
2005-06-03;0.4319074285714285;34.8;1.87
2005-06-04;1.3883245714285715;6.1;2.12
2005-06-05;1.1017851428571428;1.2000000000000002;1.77
2005-06-06;0.6573497142857144;4.0;2.15
2005-06-07;0.4982965714285714;1.4000000000000001;3.28
2005-06-08;0.4054782857142858;0.5;4.1
2005-06-09;0.34890171428571426;0.7;3.49
2005-06-10;0.2871565714285714;0.4;2.37
2005-06-11;0.2465794285714285;1.2;2.89
2005-06-12;0.22828114285714282;3.6;1.78
2005-06-13;0.241812;7.0;1.44
2005-06-14;0.23840228571428568;0.0;3.82
2005-06-15;0.20246914285714288;0.0;4.02
2005-06-16;0.17599371428571428;0.0;3.0
2005-06-17;0.19021885714285716;2.2;1.33
2005-06-18;0.16557942857142857;0.0;4.24
2005-06-19;0.14979600000000004;0.1;2.9
2005-06-20;0.14225142857142858;0.0;4.07
2005-06-21;0.13941257142857144;0.1;3.53
2005-06-22;0.13429028571428572;0.0;3.78
2005-06-23;0.15420857142857142;1.4;3.86
2005-06-24;0.14606228571428573;0.0;3.97
2005-06-25;0.14373257142857143;1.9000000000000001;2.39
2005-06-26;0.1388262857142857;0.0;4.19
2005-06-27;0.12938399999999997;0.1;3.57
2005-06-28;0.11971028571428571;0.0;3.96
2005-06-29;0.11509714285714286;0.0;4.28
2005-06-30;0.11347714285714286;0.1;4.14
2005-07-01;0.11434114285714286;0.0;3.23
2005-07-02;0.11792057142857142;0.1;3.29
2005-07-03;0.11912399999999998;0.0;4.37
2005-07-04;0.11995714285714286;0.0;4.86
2005-07-05;0.12401485714285715;7.3;2.85
2005-07-06;0.1733708571428571;13.7;2.59
2005-07-07;0.19264114285714284;0.1;3.71
2005-07-08;0.1824274285714286;0.0;4.41
2005-07-09;0.16834114285714283;0.0;4.46
2005-07-10;0.14652514285714285;0.0;4.2
2005-07-11;0.13419771428571428;0.0;4.68
2005-07-12;0.12472457142857143;0.0;4.69
2005-07-13;0.12424628571428571;0.0;3.57
2005-07-14;0.13430571428571428;0.0;3.1
2005-07-15;0.1469262857142857;0.2;2.55
2005-07-16;0.15624514285714286;3.3000000000000003;2.64
2005-07-17;0.14862342857142857;0.0;2.88
2005-07-18;0.14313085714285714;0.0;3.29
2005-07-19;0.16810971428571425;5.5;2.07
2005-07-20;0.19399885714285717;13.100000000000001;2.38
2005-07-21;0.2491097142857143;1.9000000000000001;2.58
2005-07-22;0.2443577142857143;0.2;3.24
2005-07-23;0.18179485714285717;2.1;2.39
2005-07-24;0.15889885714285717;2.6999999999999997;1.25
2005-07-25;0.16071942857142854;2.6;1.23
2005-07-26;0.13302514285714287;0.0;2.64
2005-07-27;0.11310685714285713;0.0;2.24
2005-07-28;0.10776857142857142;3.0000000000000004;1.7
2005-07-29;0.13106571428571429;7.799999999999999;1.88
2005-07-30;0.23864914285714287;28.2;0.91
2005-07-31;0.4106159999999999;12.2;3.22
2005-08-01;0.4910297142857144;3.0;2.54
2005-08-02;0.4642765714285715;0.1;1.61
2005-08-03;0.34950342857142863;0.8;2.1
2005-08-04;0.2607737142857143;0.0;2.72
2005-08-05;0.19963028571428573;8.4;1.81
2005-08-06;0.2047217142857143;0.2;2.51
2005-08-07;0.23382;10.600000000000001;2.29
2005-08-08;0.309636;7.6;2.09
2005-08-09;0.2937445714285714;0.0;2.43
2005-08-10;0.23036399999999999;0.30000000000000004;1.44
2005-08-11;0.1915457142857143;1.1;1.2
2005-08-12;0.1703777142857143;0.8999999999999999;1.38
2005-08-13;0.15317485714285714;0.6000000000000001;1.85
2005-08-14;0.13935085714285714;0.0;2.11
2005-08-15;0.12933771428571428;0.0;2.89
2005-08-16;0.12341314285714286;0.0;1.68
2005-08-17;0.12353657142857143;0.0;2.82
2005-08-18;0.11981828571428571;0.0;2.93
2005-08-19;0.11245885714285714;0.0;3.12
2005-08-20;0.10736742857142859;0.0;3.28
2005-08-21;0.10332514285714287;0.0;2.37
2005-08-22;0.10000800000000001;0.0;2.86
2005-08-23;0.09956057142857141;0.0;2.47
2005-08-24;0.10503771428571428;0.0;1.55
2005-08-25;0.11099314285714286;10.0;0.88
2005-08-26;0.138348;0.9000000000000001;2.06
2005-08-27;0.14751257142857144;0.1;2.1
2005-08-28;0.12551142857142858;0.30000000000000004;2.0
2005-08-29;0.11080800000000002;0.3;3.15
2005-08-30;0.10193657142857142;0.0;2.51
2005-08-31;0.09146057142857142;0.0;2.48
2005-09-01;0.08840571428571428;0.0;2.94
2005-09-02;0.0872022857142857;0.2;1.22
2005-09-03;0.08197199999999999;0.0;2.05
2005-09-04;0.07919485714285714;0.0;1.82
2005-09-05;0.08047542857142857;0.0;1.99
2005-09-06;0.077652;0.0;2.55
2005-09-07;0.07532228571428573;0.0;2.44
2005-09-08;0.07496742857142857;3.2;2.71
2005-09-09;0.07220571428571429;0.1;1.82
2005-09-10;0.07243714285714285;0.0;2.28
2005-09-11;0.07092514285714287;0.0;1.76
2005-09-12;0.06797828571428571;0.0;1.62
2005-09-13;0.06748457142857144;0.0;1.59
2005-09-14;0.06776228571428573;1.2000000000000002;1.67
2005-09-15;0.07356342857142856;4.1;1.55
2005-09-16;0.08066057142857141;0.0;1.61
2005-09-17;0.07771371428571429;0.3;1.44
2005-09-18;0.07323942857142857;0.2;0.88
2005-09-19;0.07296171428571428;0.5;0.82
2005-09-20;0.07259142857142857;0.0;1.22
2005-09-21;0.06817885714285714;0.3;0.76
2005-09-22;0.06608057142857143;0.0;0.82
2005-09-23;0.06927428571428572;0.0;1.52
2005-09-24;0.06787028571428572;0.0;1.25
2005-09-25;0.06410571428571428;0.0;1.4
2005-09-26;0.06183771428571429;0.4;0.87
2005-09-27;0.06237771428571427;2.4000000000000004;0.9
2005-09-28;0.07274571428571429;0.6;0.74
2005-09-29;0.07919485714285714;2.5;0.85
2005-09-30;0.08772685714285713;9.0;0.69
2005-10-01;0.1079537142857143;0.0;1.08
2005-10-02;0.12515657142857142;0.0;1.34
2005-10-03;0.12656057142857144;0.0;1.03
2005-10-04;0.10980514285714287;0.0;0.83
2005-10-05;0.08726399999999998;0.0;0.75
2005-10-06;0.07620171428571429;0.0;0.74
2005-10-07;0.072576;0.0;0.85
2005-10-08;0.06996857142857142;0.0;1.04
2005-10-09;0.068796;0.1;0.64
2005-10-10;0.06876514285714286;0.0;0.71
2005-10-11;0.06881142857142857;0.0;1.06
2005-10-12;0.06765428571428571;0.0;1.03
2005-10-13;0.06657428571428571;0.0;0.72
2005-10-14;0.06662057142857142;0.0;0.5
2005-10-15;0.066852;0.0;0.63
2005-10-16;0.06597257142857142;0.0;0.44
2005-10-17;0.06719142857142857;0.0;0.42
2005-10-18;0.06973714285714286;0.0;0.29
2005-10-19;0.06990685714285715;0.0;0.38
2005-10-20;0.07256057142857142;1.3;0.56
2005-10-21;0.07725085714285716;6.7;0.45
2005-10-22;0.10516114285714286;3.8000000000000003;0.6
2005-10-23;0.12423085714285714;0.1;0.81
2005-10-24;0.10776857142857142;0.4;0.49
2005-10-25;0.141048;24.4;0.48
2005-10-26;0.288252;0.1;0.7
2005-10-27;0.27567771428571436;0.30000000000000004;0.34
2005-10-28;0.20393485714285714;0.0;0.86
2005-10-29;0.16138285714285713;0.0;0.59
2005-10-30;0.13296342857142857;0.0;0.34
2005-10-31;0.11826;0.0;0.42
2005-11-01;0.13206857142857142;4.3999999999999995;0.41
2005-11-02;0.14510571428571428;0.0;0.25
2005-11-03;0.23037942857142857;9.0;0.39
2005-11-04;0.25176342857142864;5.0;0.37
2005-11-05;0.22576628571428572;2.2;0.4
2005-11-06;0.21144857142857143;0.3;0.41
2005-11-07;0.19128342857142858;0.1;0.45
2005-11-08;0.168048;0.0;0.36
2005-11-09;0.15157028571428574;0.0;0.24
2005-11-10;0.14123314285714286;0.7;0.24
2005-11-11;0.13995257142857143;6.2;0.42
2005-11-12;0.17341714285714285;0.0;0.55
2005-11-13;0.18140914285714288;0.0;0.12
